1774362554,37.8,60.1,128,237,Gelisim-1
1774362614,37.8,59.3,128,237,Gelisim-1
1774362674,37.8,59.8,128,237,Gelisim-1
1774362734,37.8,60.3,128,237,Gelisim-1
1774362794,37.8,60,128,237,Gelisim-1
1774362854,37.8,60.1,128,237,Gelisim-1
1774362914,37.8,60.7,128,237,Gelisim-1
1774362974,37.8,59.5,128,237,Gelisim-1
1774363034,37.8,59.5,128,237,Gelisim-1
1774363095,37.8,59.6,128,237,Gelisim-1
1774363155,37.8,60.3,128,237,Gelisim-1
1774363215,37.8,59.2,128,237,Gelisim-1
1774363275,37.8,60.3,128,237,Gelisim-1
1774363335,37.8,60.4,128,237,Gelisim-1
1774363395,37.8,59.9,128,237,Gelisim-1
1774363455,37.8,59.9,128,237,Gelisim-1
1774363515,37.8,59.7,128,237,Gelisim-1
1774363575,37.8,59.6,128,237,Gelisim-1
1774363635,37.8,59.7,128,237,Gelisim-1
1774363695,37.8,59.3,128,237,Gelisim-1
1774363755,37.8,59.6,128,237,Gelisim-1
1774363815,37.8,59.2,128,237,Gelisim-1
1774363875,37.8,58.6,128,237,Gelisim-1
1774363935,37.8,58.7,128,237,Gelisim-1
1774363995,37.8,58.9,128,237,Gelisim-1
1774364055,37.8,58.9,128,237,Gelisim-1
1774364115,37.8,59.1,128,237,Gelisim-1
1774364175,37.8,59.2,128,237,Gelisim-1
1774364235,37.8,59.4,128,237,Gelisim-1
1774364295,37.8,59.5,128,237,Gelisim-1
1774364355,37.8,59.5,128,237,Gelisim-1
1774364415,37.8,59.5,128,237,Gelisim-1
1774364475,37.8,59.3,128,237,Gelisim-1
1774364535,37.8,59.3,128,237,Gelisim-1
1774364595,37.8,59.2,128,237,Gelisim-1
1774364655,37.8,59.1,128,237,Gelisim-1
1774364715,37.8,59.4,128,237,Gelisim-1
1774364775,37.8,59.4,128,237,Gelisim-1
1774364836,37.8,59.5,128,237,Gelisim-1
1774364896,37.8,59.4,128,237,Gelisim-1
1774364956,37.8,59.2,128,237,Gelisim-1
1774365016,37.8,59.2,128,237,Gelisim-1
1774365076,37.8,59.2,128,237,Gelisim-1
1774365136,37.8,59.3,128,237,Gelisim-1
1774365196,37.8,59.4,128,237,Gelisim-1
1774365256,37.8,59.2,128,237,Gelisim-1
1774365316,37.8,59.5,128,237,Gelisim-1
1774365376,37.8,59.6,128,237,Gelisim-1
1774365436,37.8,59.7,128,237,Gelisim-1
1774365496,37.8,59.9,128,237,Gelisim-1
1774365556,37.8,60.1,128,237,Gelisim-1
1774365616,37.8,60.3,128,237,Gelisim-1
1774365676,37.8,60.4,128,237,Gelisim-1
1774365736,37.8,60.2,128,237,Gelisim-1
1774365796,37.8,60.4,128,237,Gelisim-1
1774365856,37.8,60.3,128,237,Gelisim-1
1774365916,37.8,60.3,128,237,Gelisim-1
